year1,yearType,"values(singleYears)","values(startYears)","values(endYears)"
1400,any,,3503,462
1400,birth,1666,2166,1417
1400,death,113,1446,1165
1400,marriage,23,376,346
1400,other,37,,
1400,residence,12,49,23
1401,any,,50,5
1401,birth,6,274,309
1401,death,1,218,246
1401,marriage,1,54,59
1401,residence,,7,10
1402,any,,49,1
1402,birth,17,441,741
1402,death,6,367,449
1402,marriage,,178,228
1403,any,,34,5
1403,birth,12,497,379
1403,death,5,317,316
1403,marriage,1,136,118
1403,residence,,7,4
1404,any,,36,2
1404,birth,10,540,483
1404,death,,461,377
1404,marriage,,130,141
1404,residence,,8,8
1405,any,,103,7
1405,birth,28,731,1468
1405,death,13,617,896
1405,marriage,2,145,153
1406,any,,36,5
1406,birth,17,513,424
1406,death,1,443,345
1406,marriage,2,104,139
1406,residence,,4,4
1407,any,,32,
1407,birth,9,472,443
1407,death,4,394,320
1407,marriage,1,81,117
1407,residence,,20,20
1408,any,,64,1
1408,birth,31,500,386
1408,death,24,345,305
1408,marriage,,113,98
1408,residence,,3,3
1409,any,,26,2
1409,birth,7,358,382
1409,death,,326,343
1409,marriage,2,164,158
1410,any,,163,41
1410,birth,54,1466,823
1410,death,14,1289,635
1410,marriage,,209,236
1410,residence,,6,6
1411,any,,36,
1411,birth,7,306,357
1411,death,1,256,300
1411,marriage,,105,125
1411,residence,,6,6
1412,any,,150,28
1412,birth,16,467,534
1412,death,12,347,353
1412,marriage,3,101,125
1413,any,,37,12
1413,birth,12,396,302
1413,death,2,276,263
1413,marriage,,112,118
1414,any,,49,6
1414,birth,5,392,391
1414,death,10,359,318
1414,marriage,1,138,154
1414,residence,,7,11
1415,any,,104,28
1415,birth,32,1019,688
1415,death,16,942,610
1415,marriage,4,134,148
1415,residence,,21,15
1416,any,,35,10
1416,birth,4,451,330
1416,death,,392,248
1416,marriage,,81,105
1417,any,,69,13
1417,birth,7,363,535
1417,death,,323,372
1417,marriage,1,98,144
1418,any,,52,7
1418,birth,8,601,391
1418,death,2,394,315
1418,marriage,,138,147
1418,residence,,6,6
1419,any,,52,2
1419,birth,13,336,348
1419,death,6,413,289
1419,marriage,7,115,132
1419,residence,,8,8
1420,any,,281,70
1420,birth,77,1124,1000
1420,death,34,833,847
1420,marriage,4,278,273
1420,residence,,12,22
1421,any,,106,4
1421,birth,7,550,297
1421,death,,434,250
1421,marriage,2,77,62
1421,residence,,6,6
1422,any,,115,2
1422,birth,29,595,674
1422,death,20,535,463
1422,marriage,,143,178
1423,any,,68,17
1423,birth,6,575,389
1423,death,,402,312
1423,marriage,2,182,147
1423,residence,,6,6
1424,any,,39,5
1424,birth,12,541,498
1424,death,2,471,410
1424,marriage,,164,203
1424,residence,,4,4
1425,any,,236,25
1425,birth,39,1023,894
1425,death,20,847,710
1425,marriage,,199,239
1425,residence,,14,14
1426,any,,63,7
1426,birth,20,491,397
1426,death,3,410,327
1426,marriage,1,105,119
1426,residence,,15,17
1427,any,,68,4
1427,birth,27,437,520
1427,death,12,388,336
1427,marriage,,71,123
1427,residence,,7,7
1428,any,,68,28
1428,birth,23,799,498
1428,death,11,537,392
1428,marriage,,167,132
1428,residence,,20,12
1429,any,,32,12
1429,birth,9,321,293
1429,death,6,275,249
1429,marriage,1,99,100
1429,residence,,6,6
1430,any,,258,16
1430,birth,71,1179,985
1430,death,32,979,774
1430,marriage,2,287,300
1430,residence,,6,6
1431,any,,50,7
1431,birth,5,460,286
1431,death,,384,219
1431,marriage,,127,118
1431,residence,,4,4
1432,any,,65,12
1432,birth,12,488,662
1432,death,,404,394
1432,marriage,2,144,208
1432,residence,,,3
1433,any,,43,3
1433,birth,21,541,310
1433,death,10,390,257
1433,marriage,,97,77
1434,any,,54,7
1434,birth,9,380,389
1434,death,,304,326
1434,marriage,1,118,133
1434,residence,,,12
1435,any,,113,14
1435,birth,28,727,786
1435,death,2,541,586
1435,marriage,3,178,181
1435,residence,,3,3
1436,any,,53,15
1436,birth,8,408,560
1436,death,,321,465
1436,marriage,1,130,146
1436,residence,,8,8
1437,any,,65,5
1437,birth,9,717,515
1437,death,2,707,360
1437,marriage,1,130,154
1438,any,,48,3
1438,birth,8,701,356
1438,death,1,436,259
1438,marriage,2,141,137
1438,residence,,3,7
1439,any,,44,8
1439,birth,5,505,553
1439,death,,452,459
1439,marriage,4,183,219
1439,residence,,35,35
1440,any,,355,41
1440,birth,118,1244,899
1440,death,13,969,724
1440,marriage,,167,177
1440,residence,,14,14
1441,any,,24,7
1441,birth,4,318,384
1441,death,3,253,308
1441,marriage,2,88,102
1441,residence,,3,3
1442,any,,68,
1442,birth,16,484,781
1442,death,11,369,463
1442,marriage,,131,162
1442,residence,,9,9
1443,any,,60,2
1443,birth,10,408,394
1443,death,2,312,319
1443,marriage,,138,129
1443,residence,,15,18
1444,any,,34,3
1444,birth,13,406,413
1444,death,1,323,321
1444,marriage,,125,118
1444,residence,,6,6
1445,any,,259,10
1445,birth,32,1539,839
1445,death,4,1051,679
1445,marriage,,209,225
1445,residence,,24,28
1446,any,,71,5
1446,birth,8,726,379
1446,death,,602,281
1446,marriage,,111,148
1447,any,,33,5
1447,birth,8,1008,506
1447,death,2,848,393
1447,marriage,,175,185
1448,any,,73,10
1448,birth,126,978,461
1448,death,122,590,363
1448,marriage,1,146,138
1448,residence,,4,4
1449,any,,65,5
1449,birth,5,608,406
1449,death,2,486,344
1449,marriage,1,130,147
1449,residence,,3,3
1450,any,,1182,215
1450,birth,57,2283,1191
1450,death,14,1528,937
1450,marriage,10,378,377
1450,residence,2,51,24
1451,any,,118,12
1451,birth,7,726,392
1451,death,2,637,332
1451,marriage,,122,154
1451,residence,,9,9
1452,any,,142,11
1452,birth,26,867,899
1452,death,16,663,506
1452,marriage,,191,206
1453,any,,95,8
1453,birth,17,595,318
1453,death,2,443,232
1453,marriage,1,90,70
1454,any,,66,4
1454,birth,7,453,405
1454,death,,305,311
1454,marriage,,124,136
1454,residence,,20,20
1455,any,,161,12
1455,birth,32,1255,1236
1455,death,,994,880
1455,marriage,2,183,181
1455,residence,,18,18
1456,any,,63,4
1456,birth,17,652,689
1456,death,10,545,536
1456,marriage,,89,134
1457,any,,101,17
1457,birth,10,467,884
1457,death,3,380,667
1457,marriage,,130,172
1458,any,,62,14
1458,birth,12,676,449
1458,death,,337,350
1458,marriage,,121,134
1458,residence,,20,20
1459,any,,68,8
1459,birth,9,460,449
1459,death,2,375,343
1459,marriage,1,105,142
1459,residence,,,4
1460,any,,413,103
1460,birth,68,1840,1337
1460,death,23,1514,1064
1460,marriage,1,369,303
1460,residence,,13,13
1461,any,,55,14
1461,birth,22,469,467
1461,death,16,371,376
1461,marriage,,118,115
1462,any,,54,29
1462,birth,39,1257,971
1462,death,23,1057,553
1462,marriage,,162,189
1462,residence,,15,15
1463,any,,105,3
1463,birth,15,628,440
1463,death,10,465,359
1463,marriage,,142,157
1464,any,,52,6
1464,birth,11,550,579
1464,death,,449,434
1464,marriage,,174,213
1464,residence,,6,6
1465,any,,169,14
1465,birth,41,1066,1024
1465,death,20,836,805
1465,marriage,3,196,215
1465,residence,,9,9
1466,any,,317,11
1466,birth,11,634,371
1466,death,6,541,266
1466,marriage,2,133,101
1467,any,,159,22
1467,birth,14,1076,578
1467,death,4,861,350
1467,marriage,2,146,159
1467,residence,,14,14
1468,any,,81,12
1468,birth,83,1205,520
1468,death,63,696,412
1468,marriage,2,245,226
1469,any,,118,17
1469,birth,9,703,502
1469,death,2,512,392
1469,marriage,,180,160
1469,residence,,6,6
1470,any,,403,59
1470,birth,94,1650,1243
1470,death,38,1100,947
1470,marriage,11,306,342
1470,residence,,10,10
1471,any,,46,20
1471,birth,22,687,406
1471,death,14,533,316
1471,marriage,,81,75
1471,residence,,9,9
1472,any,,78,53
1472,birth,15,602,1829
1472,death,2,379,1207
1472,marriage,1,131,233
1473,any,,131,2
1473,birth,18,975,480
1473,death,4,622,366
1473,marriage,2,232,127
1473,residence,,3,3
1474,any,,106,9
1474,birth,14,878,615
1474,death,,716,450
1474,marriage,,159,213
1474,residence,,12,12
1475,any,,308,54
1475,birth,71,1948,1375
1475,death,26,1380,972
1475,marriage,6,319,388
1475,residence,,11,11
1476,any,,118,18
1476,birth,24,619,474
1476,death,10,489,374
1476,marriage,,161,131
1476,residence,,,4
1477,any,,74,5
1477,birth,10,433,807
1477,death,2,321,458
1477,marriage,,106,231
1477,residence,,4,4
1478,any,,122,12
1478,birth,21,1380,686
1478,death,2,738,473
1478,marriage,,242,144
1479,any,,84,17
1479,birth,20,478,477
1479,death,4,367,348
1479,marriage,,112,99
1479,residence,,9,9
1480,any,,629,84
1480,birth,67,2635,1519
1480,death,14,2143,1117
1480,marriage,4,467,508
1480,residence,,33,31
1481,any,,43,11
1481,birth,39,581,403
1481,death,33,393,321
1481,marriage,3,85,67
1482,any,,95,8
1482,birth,50,586,1242
1482,death,10,448,610
1482,marriage,,204,297
1482,residence,,3,7
1483,any,,162,16
1483,birth,12,1164,556
1483,death,6,896,433
1483,marriage,2,185,155
1483,residence,,6,6
1484,any,,188,9
1484,birth,19,1069,571
1484,death,5,911,401
1484,marriage,,138,133
1484,residence,,4,4
1485,any,,372,73
1485,birth,52,1906,1638
1485,death,8,1379,1171
1485,marriage,4,312,354
1485,residence,,14,14
1486,any,,103,11
1486,birth,8,1398,565
1486,death,1,1151,397
1486,marriage,,158,185
1486,residence,,6,6
1487,any,,94,7
1487,birth,49,625,758
1487,death,50,494,489
1487,marriage,,113,179
1487,residence,,11,11
1488,any,,80,14
1488,birth,83,1187,775
1488,death,76,709,608
1488,marriage,,284,171
1489,any,,99,3
1489,birth,27,525,562
1489,death,2,401,417
1489,marriage,,178,189
1489,residence,,17,4
1490,any,,544,91
1490,birth,90,1774,1602
1490,death,48,1266,1282
1490,marriage,2,309,358
1490,residence,,30,
1491,any,,361,51
1491,birth,25,796,622
1491,death,3,600,491
1491,marriage,5,106,134
1491,residence,,10,
1492,any,,189,79
1492,birth,15,1117,1090
1492,death,4,896,538
1492,marriage,,164,268
1492,residence,,10,11
1493,any,,127,123
1493,birth,14,865,767
1493,death,11,525,627
1493,marriage,5,138,113
1493,residence,,38,9
1494,any,,148,3
1494,birth,26,980,648
1494,death,11,743,456
1494,marriage,5,180,203
1495,any,,296,57
1495,birth,65,5318,1444
1495,death,28,2953,1116
1495,marriage,5,441,426
1495,residence,,37,12
1496,any,,101,5
1496,birth,37,826,1278
1496,death,10,671,1037
1496,marriage,,154,231
1496,residence,,12,12
1497,any,,110,27
1497,birth,8,904,830
1497,death,,681,478
1497,marriage,4,177,144
1497,residence,,9,7
1498,any,,128,42
1498,birth,15,1718,626
1498,death,4,692,469
1498,marriage,,345,182
1498,residence,,,39
1499,any,,150,52
1499,birth,24,801,540
1499,death,,606,399
1499,marriage,2,213,193
1499,residence,,7,7
1500,any,,18319,1575
1500,birth,4165,6246,2417
1500,death,542,3131,1692
1500,marriage,166,824,454
1500,other,91,,
1500,residence,94,310,51
1501,any,,174,15
1501,birth,9,1301,717
1501,death,1,1040,489
1501,marriage,2,191,250
1502,any,,189,19
1502,birth,31,918,1900
1502,death,6,679,788
1502,marriage,4,240,374
1502,residence,,30,30
1503,any,,173,26
1503,birth,23,1106,804
1503,death,3,711,606
1503,marriage,4,308,304
1504,any,,131,21
1504,birth,14,1386,936
1504,death,3,1165,663
1504,marriage,,217,308
1505,any,,321,62
1505,birth,184,1519,5605
1505,death,114,989,3074
1505,marriage,1,259,325
1505,residence,,3,
1506,any,,118,36
1506,birth,37,904,1104
1506,death,2,667,812
1506,marriage,,304,334
1506,residence,,14,6
1507,any,,117,18
1507,birth,21,743,942
1507,death,,564,482
1507,marriage,1,142,208
1507,residence,,,3
1508,any,,221,27
1508,birth,19,1797,730
1508,death,7,1035,557
1508,marriage,3,285,223
1508,residence,,2,8
1509,any,,275,19
1509,birth,28,835,760
1509,death,8,671,555
1509,marriage,7,208,224
1509,residence,,,3
1510,any,,666,132
1510,birth,108,1915,1615
1510,death,15,1415,1194
1510,marriage,2,315,418
1510,residence,,10,12
1511,any,,107,27
1511,birth,27,746,782
1511,death,14,503,622
1511,marriage,,144,132
1511,residence,,6,6
1512,any,,214,21
1512,birth,20,763,1460
1512,death,,568,773
1512,marriage,1,241,261
1512,residence,,7,7
1513,any,,132,48
1513,birth,22,1456,922
1513,death,13,979,736
1513,marriage,,280,167
1514,any,,205,42
1514,birth,23,1088,969
1514,death,6,881,718
1514,marriage,,201,166
1514,residence,,3,3
1515,any,,500,69
1515,birth,87,2961,1506
1515,death,35,2461,1023
1515,marriage,5,385,368
1515,residence,,12,16
1516,any,,181,15
1516,birth,30,910,680
1516,death,12,698,451
1516,marriage,3,195,254
1516,residence,,5,3
1517,any,,159,14
1517,birth,9,758,1317
1517,death,,537,793
1517,marriage,1,283,355
1517,residence,,3,3
1518,any,,194,8
1518,birth,30,1877,957
1518,death,15,941,760
1518,marriage,,456,315
1518,residence,,9,9
1519,any,,107,14
1519,birth,125,850,753
1519,death,102,542,517
1519,marriage,,206,284
1519,residence,,8,6
1520,any,,1353,239
1520,birth,160,3213,2243
1520,death,54,2467,1634
1520,marriage,4,691,752
1520,residence,,55,43
1521,any,,228,26
1521,birth,29,785,834
1521,death,13,552,607
1521,marriage,5,312,293
1521,residence,,8,
1522,any,,132,53
1522,birth,105,984,1821
1522,death,77,753,814
1522,marriage,4,292,527
1522,residence,,6,6
1523,any,,99,14
1523,birth,20,1252,713
1523,death,4,658,504
1523,marriage,3,313,230
1524,any,,175,18
1524,birth,51,953,1091
1524,death,23,658,778
1524,marriage,1,309,297
1524,residence,,11,11
1525,any,,506,181
1525,birth,102,2345,2871
1525,death,41,1615,2355
1525,marriage,20,426,607
1525,residence,,41,44
1526,any,,190,29
1526,birth,33,906,883
1526,death,15,578,621
1526,marriage,1,223,203
1526,residence,,6,16
1527,any,,183,10
1527,birth,22,1021,1412
1527,death,,904,777
1527,marriage,1,269,356
1527,residence,,6,6
1528,any,,263,38
1528,birth,31,2652,1016
1528,death,12,1696,805
1528,marriage,1,537,397
1528,residence,,51,9
1529,any,,152,26
1529,birth,40,808,868
1529,death,25,577,641
1529,marriage,6,268,303
1529,residence,,12,12
1530,any,,1511,166
1530,birth,158,2816,2200
1530,death,24,1983,1557
1530,marriage,4,755,793
1530,residence,6,15,16
1531,any,,237,41
1531,birth,41,1283,721
1531,death,18,1176,544
1531,marriage,5,239,244
1531,residence,,73,6
1532,any,,249,35
1532,birth,87,1088,1938
1532,death,81,751,878
1532,marriage,2,225,430
1532,residence,,11,11
1533,any,,251,16
1533,birth,67,1318,963
1533,death,46,743,691
1533,marriage,6,339,268
1533,residence,,17,17
1534,any,,340,19
1534,birth,24,958,835
1534,death,,714,569
1534,marriage,1,262,271
1534,residence,,26,26
1535,any,,621,82
1535,birth,101,2386,2062
1535,death,38,1845,1508
1535,marriage,10,552,470
1535,residence,,18,34
1536,any,,260,47
1536,birth,38,1739,1090
1536,death,10,1365,730
1536,marriage,2,440,421
1536,residence,,18,26
1537,any,,273,34
1537,birth,47,1407,1232
1537,death,14,1069,623
1537,marriage,4,205,263
1537,residence,,9,9
1538,any,,342,22
1538,birth,57,2431,1229
1538,death,25,1269,888
1538,marriage,8,465,303
1538,residence,,41,24
1539,any,,168,25
1539,birth,33,1246,879
1539,death,12,998,670
1539,marriage,2,282,331
1539,residence,,17,15
1540,any,,1499,202
1540,birth,207,2983,2263
1540,death,64,1993,1661
1540,marriage,14,842,795
1540,residence,,68,19
1541,any,,194,51
1541,birth,34,1053,1327
1541,death,13,790,1181
1541,marriage,5,264,369
1541,residence,,6,26
1542,any,,424,146
1542,birth,45,2841,2571
1542,death,4,2362,1281
1542,marriage,3,486,805
1542,residence,,7,48
1543,any,,231,67
1543,birth,27,1525,925
1543,death,10,836,645
1543,marriage,5,378,272
1543,residence,,34,34
1544,any,,307,45
1544,birth,33,1145,1082
1544,death,13,756,716
1544,marriage,,318,377
1544,residence,,11,11
1545,any,,717,170
1545,birth,128,3009,2073
1545,death,62,1970,1475
1545,marriage,7,539,496
1545,residence,,70,63
1546,any,,165,53
1546,birth,22,1298,1050
1546,death,7,848,727
1546,marriage,2,310,291
1546,residence,,15,9
1547,any,,337,121
1547,birth,61,1644,2323
1547,death,17,1242,1465
1547,marriage,3,265,456
1547,residence,,9,12
1548,any,,301,49
1548,birth,36,2800,1156
1548,death,8,1397,808
1548,marriage,1,675,437
1548,residence,,48,27
1549,any,,190,69
1549,birth,48,1392,1212
1549,death,19,1085,736
1549,marriage,4,397,488
1549,residence,,4,4
1550,any,,3927,760
1550,birth,347,4350,2637
1550,death,108,2929,1729
1550,marriage,13,932,815
1550,residence,,132,95
1551,any,,188,47
1551,birth,31,1235,966
1551,death,17,812,698
1551,marriage,9,199,247
1551,residence,,26,21
1552,any,,615,207
1552,birth,77,1475,3579
1552,death,34,1133,2090
1552,marriage,9,361,682
1552,residence,,31,31
1553,any,,321,40
1553,birth,52,1659,1066
1553,death,30,953,781
1553,marriage,8,493,371
1553,residence,,1,
1554,any,,226,43
1554,birth,23,1406,1061
1554,death,7,1105,684
1554,marriage,9,252,297
1554,residence,,21,11
1555,any,,678,187
1555,birth,107,2673,2664
1555,death,39,1940,1858
1555,marriage,5,638,527
1555,residence,,135,183
1556,any,,274,28
1556,birth,75,1379,1117
1556,death,15,989,840
1556,marriage,7,377,402
1556,residence,,74,113
1557,any,,217,55
1557,birth,50,1602,1746
1557,death,23,1209,892
1557,marriage,1,383,462
1557,residence,,18,30
1558,any,,433,51
1558,birth,121,2930,1338
1558,death,8,1615,994
1558,marriage,10,689,359
1558,residence,,22,5
1559,any,,236,39
1559,birth,92,1723,1245
1559,death,53,1389,928
1559,marriage,9,452,461
1559,residence,,44,71
1560,any,,1966,431
1560,birth,296,3554,2649
1560,death,109,2442,1876
1560,marriage,31,1131,896
1560,residence,,125,86
1561,any,,309,69
1561,birth,65,1800,1231
1561,death,30,1214,855
1561,marriage,12,306,414
1561,residence,,38,46
1562,any,,337,225
1562,birth,88,1639,2745
1562,death,21,1163,1358
1562,marriage,8,473,939
1562,residence,,24,72
1563,any,,347,46
1563,birth,32,1896,1418
1563,death,2,1011,1059
1563,marriage,3,470,460
1563,residence,,17,21
1564,any,,517,65
1564,birth,65,1619,1458
1564,death,15,1127,859
1564,marriage,8,555,564
1564,residence,,31,29
1565,any,,731,176
1565,birth,180,3172,2452
1565,death,27,2240,1632
1565,marriage,21,845,696
1565,residence,,41,38
1566,any,,602,99
1566,birth,71,1610,1315
1566,death,46,796,716
1566,marriage,14,373,352
1566,residence,,6,6
1567,any,,380,59
1567,birth,149,1796,1808
1567,death,110,1351,893
1567,marriage,1,330,407
1567,residence,,10,27
1568,any,,363,90
1568,birth,74,2526,1434
1568,death,29,1082,996
1568,marriage,14,649,571
1568,residence,,45,58
1569,any,,208,43
1569,birth,133,1267,2071
1569,death,91,842,1382
1569,marriage,5,420,560
1569,residence,,20,18
1570,any,,1783,426
1570,birth,213,3525,2720
1570,death,64,2247,1647
1570,marriage,27,929,954
1570,residence,,77,68
1571,any,,389,102
1571,birth,59,1634,1962
1571,death,5,1151,1370
1571,marriage,2,459,530
1571,residence,,24,27
1572,any,,394,88
1572,birth,115,2035,2950
1572,death,30,1450,1214
1572,marriage,14,532,795
1572,residence,,23,37
1573,any,,360,31
1573,birth,62,2448,1335
1573,death,17,1248,814
1573,marriage,16,565,361
1573,residence,,7,7
1574,any,,315,29
1574,birth,117,1617,1379
1574,death,70,1085,856
1574,marriage,12,474,465
1574,residence,,21,21
1575,any,,1230,164
1575,birth,176,3824,2636
1575,death,45,2555,1807
1575,marriage,19,785,776
1575,residence,,95,63
1576,any,,404,39
1576,birth,77,1983,1470
1576,death,14,1351,903
1576,marriage,4,523,523
1576,residence,,16,19
1577,any,,300,66
1577,birth,84,1637,2275
1577,death,17,1105,1073
1577,marriage,3,414,621
1577,residence,,23,17
1578,any,,513,73
1578,birth,105,3179,1417
1578,death,51,1193,823
1578,marriage,9,675,495
1578,residence,,33,38
1579,any,,487,53
1579,birth,121,1983,1514
1579,death,62,1424,1016
1579,marriage,21,499,521
1579,residence,,91,83
1580,any,,2449,616
1580,birth,395,5009,3544
1580,death,162,3278,2123
1580,marriage,37,1080,1150
1580,residence,,194,189
1581,any,,372,77
1581,birth,85,1650,1286
1581,death,38,1052,773
1581,marriage,1,316,434
1581,residence,,47,40
1582,any,,420,65
1582,birth,98,2271,3229
1582,death,34,1580,1149
1582,marriage,17,443,744
1582,residence,,27,30
1583,any,,488,31
1583,birth,128,2896,1501
1583,death,65,1768,981
1583,marriage,14,596,521
1583,residence,,57,75
1584,any,,499,74
1584,birth,54,2237,1885
1584,death,11,1577,1163
1584,marriage,12,656,633
1584,residence,,46,41
1585,any,,1022,199
1585,birth,216,4288,3526
1585,death,78,2912,2376
1585,marriage,16,833,815
1585,residence,,122,77
1586,any,,501,64
1586,birth,94,1687,1767
1586,death,31,1027,1016
1586,marriage,9,548,478
1586,residence,,70,85
1587,any,,562,121
1587,birth,53,2463,2416
1587,death,6,1806,1310
1587,marriage,9,683,748
1587,residence,,53,54
1588,any,,584,117
1588,birth,191,3146,2036
1588,death,143,1318,1283
1588,marriage,16,902,842
1588,residence,,14,14
1589,any,,517,131
1589,birth,98,2331,2103
1589,death,35,1722,1389
1589,marriage,16,617,758
1589,residence,,46,71
1590,any,,2312,463
1590,birth,378,4990,3516
1590,death,182,3251,2332
1590,marriage,89,978,1145
1590,residence,,128,180
1591,any,,535,110
1591,birth,59,2630,1858
1591,death,30,1748,1233
1591,marriage,18,505,509
1591,residence,,66,68
1592,any,,509,112
1592,birth,183,2553,3828
1592,death,67,1614,1693
1592,marriage,39,581,843
1592,residence,,86,89
1593,any,,434,105
1593,birth,85,2624,1779
1593,death,22,1447,1098
1593,marriage,22,675,598
1593,residence,,71,66
1594,any,,501,74
1594,birth,106,2456,1888
1594,death,25,1616,1121
1594,marriage,20,556,651
1594,residence,,74,77
1595,any,,1157,172
1595,birth,319,9359,3572
1595,death,161,5381,2256
1595,marriage,65,1133,1000
1595,residence,,92,78
1596,any,,729,69
1596,birth,134,2589,1862
1596,death,45,1683,1149
1596,marriage,21,613,551
1596,residence,,79,89
1597,any,,511,151
1597,birth,89,1920,2421
1597,death,5,1112,1159
1597,marriage,17,615,575
1597,residence,,60,68
1598,any,,831,80
1598,birth,214,5303,1834
1598,death,96,2593,1036
1598,marriage,28,842,543
1598,residence,,59,61
1599,any,,756,238
1599,birth,161,3050,1970
1599,death,81,2208,1252
1599,marriage,42,632,641
1599,residence,,124,143
1600,any,,21899,5250
1600,birth,6613,10494,5801
1600,death,924,5095,3239
1600,marriage,638,2365,1773
1600,other,165,,
1600,residence,234,811,392
1601,any,,524,77
1601,birth,107,2584,2900
1601,death,39,1758,1862
1601,marriage,23,610,751
1601,residence,,105,104
1602,any,,692,151
1602,birth,132,2772,4330
1602,death,57,1778,1326
1602,marriage,15,516,828
1602,residence,,109,68
1603,any,,649,122
1603,birth,139,3148,2320
1603,death,62,1848,1482
1603,marriage,24,764,811
1603,residence,,131,133
1604,any,,700,96
1604,birth,201,2848,2570
1604,death,121,1868,1525
1604,marriage,54,715,740
1604,residence,,133,133
1605,any,,1059,243
1605,birth,261,4137,8726
1605,death,124,2672,4353
1605,marriage,50,1023,1190
1605,residence,,149,158
1606,any,,606,140
1606,birth,125,3184,2112
1606,death,35,2286,1167
1606,marriage,20,625,597
1606,residence,,51,56
1607,any,,765,61
1607,birth,164,2652,2653
1607,death,87,1678,1296
1607,marriage,32,772,742
1607,residence,,129,110
1608,any,,711,162
1608,birth,179,4277,2638
1608,death,68,2029,1756
1608,marriage,41,954,688
1608,residence,,119,139
1609,any,,544,80
1609,birth,157,3113,2064
1609,death,66,1976,1202
1609,marriage,37,833,628
1609,residence,,154,126
1610,any,,2148,775
1610,birth,561,4970,4076
1610,death,253,3285,2423
1610,marriage,61,1352,1418
1610,residence,,199,184
1611,any,,470,176
1611,birth,232,2809,2232
1611,death,154,1974,1341
1611,marriage,52,742,889
1611,residence,,75,74
1612,any,,713,162
1612,birth,173,4089,4267
1612,death,52,2832,1865
1612,marriage,53,899,1185
1612,residence,,144,151
1613,any,,700,153
1613,birth,174,4004,2588
1613,death,87,2597,1616
1613,marriage,42,1007,953
1613,residence,,61,59
1614,any,,643,102
1614,birth,221,2714,2454
1614,death,111,1804,1343
1614,marriage,57,735,772
1614,residence,,73,73
1615,any,,1596,210
1615,birth,384,5519,3582
1615,death,186,3595,2243
1615,marriage,95,1062,1088
1615,residence,,123,112
1616,any,,775,186
1616,birth,159,3180,2689
1616,death,73,2223,1637
1616,marriage,45,888,909
1616,residence,,113,137
1617,any,,826,150
1617,birth,185,3608,3186
1617,death,86,2444,1628
1617,marriage,48,790,903
1617,residence,,119,119
1618,any,,809,137
1618,birth,223,4892,2507
1618,death,115,2268,1507
1618,marriage,59,1325,970
1618,residence,,161,160
1619,any,,610,104
1619,birth,333,2436,2476
1619,death,244,1457,1478
1619,marriage,82,773,812
1619,residence,,96,106
1620,any,,3694,986
1620,birth,622,7213,4467
1620,death,241,5176,2676
1620,marriage,128,1426,1416
1620,residence,,317,260
1621,any,,916,393
1621,birth,211,2711,3271
1621,death,90,1905,2048
1621,marriage,74,687,795
1621,residence,,97,105
1622,any,,750,203
1622,birth,312,3127,5202
1622,death,199,2017,2654
1622,marriage,63,935,1207
1622,residence,,95,102
1623,any,,701,99
1623,birth,241,3812,2782
1623,death,85,2114,1696
1623,marriage,62,1056,889
1623,residence,,157,176
1624,any,,720,157
1624,birth,188,2674,2756
1624,death,100,1646,1656
1624,marriage,69,919,1026
1624,residence,,238,241
1625,any,,1562,553
1625,birth,398,5136,4696
1625,death,191,3425,2953
1625,marriage,129,1281,1409
1625,residence,,161,170
1626,any,,719,125
1626,birth,223,3088,3017
1626,death,130,1942,2001
1626,marriage,97,946,896
1626,residence,3,123,128
1627,any,,772,109
1627,birth,239,3240,3797
1627,death,139,2016,1892
1627,marriage,74,940,1082
1627,residence,,158,230
1628,any,,861,115
1628,birth,210,5259,2621
1628,death,90,2655,1604
1628,marriage,80,1154,894
1628,residence,,137,143
1629,any,,618,114
1629,birth,236,2869,2511
1629,death,153,1784,1414
1629,marriage,63,755,795
1629,residence,,145,162
1630,any,,3504,1087
1630,birth,514,6647,5554
1630,death,238,4600,3621
1630,marriage,138,1990,1791
1630,residence,,343,319
1631,any,,642,105
1631,birth,154,3324,2513
1631,death,88,2176,1490
1631,marriage,56,715,735
1631,residence,,107,115
1632,any,,793,128
1632,birth,325,4040,4625
1632,death,222,2823,1905
1632,marriage,87,1027,1276
1632,residence,,130,134
1633,any,,658,170
1633,birth,177,4123,2715
1633,death,70,2563,1577
1633,marriage,55,889,769
1633,residence,,171,187
1634,any,,756,135
1634,birth,272,3131,3419
1634,death,136,2155,1954
1634,marriage,84,1222,1424
1634,residence,,259,227
1635,any,,1554,413
1635,birth,374,5081,4878
1635,death,188,3475,3091
1635,marriage,119,1416,1276
1635,residence,,240,192
1636,any,,675,86
1636,birth,450,3809,3157
1636,death,296,2557,1897
1636,marriage,137,1002,1045
1636,residence,,251,231
1637,any,,786,122
1637,birth,260,3459,3719
1637,death,152,2103,1963
1637,marriage,124,963,968
1637,residence,,142,183
1638,any,,900,88
1638,birth,318,5709,3101
1638,death,185,2973,2029
1638,marriage,133,1518,1106
1638,residence,,258,232
1639,any,,721,199
1639,birth,304,3338,3063
1639,death,173,2226,1844
1639,marriage,109,1112,1263
1639,residence,,185,176
1640,any,,3317,1078
1640,birth,656,7886,5371
1640,death,364,5185,3477
1640,marriage,195,2171,1884
1640,residence,3,351,391
1641,any,,688,73
1641,birth,295,3658,3040
1641,death,193,2374,1773
