year1,yearType,"values(singleYears)","values(startYears)","values(endYears)"
349,birth,2,,
349,death,2,,
350,any,,2,
350,birth,19,,
350,death,10,1,
351,birth,1,,
352,birth,3,,
352,death,2,,
353,birth,,2,
353,death,,2,
354,birth,1,,
355,birth,4,,
355,death,4,,
356,birth,15,,
356,death,12,,
357,birth,,,2
357,death,,,2
358,birth,,,1
359,birth,1,,2
359,death,,,2
360,birth,8,,
360,death,8,,
361,birth,4,,
361,death,5,,
362,birth,2,,3
362,death,2,,3
362,marriage,,,3
363,birth,10,2,
363,death,8,2,
364,birth,2,2,
364,death,2,2,
365,any,,1,
365,birth,9,,
365,death,6,,
366,birth,1,2,
366,death,,2,
367,birth,,,2
367,death,,,2
368,birth,3,2,2
368,death,2,2,2
370,any,,2,1
370,birth,3,,2
370,death,,,2
371,birth,3,,
372,birth,3,,2
372,death,,,2
374,birth,1,,
375,any,,1,
375,birth,2,2,
375,death,,2,1
377,birth,,4,
377,death,,4,
378,birth,4,,
379,any,,,3
379,birth,2,,5
379,death,,,5
380,birth,8,,
380,death,4,,
381,any,,,3
381,birth,8,,15
381,death,6,,15
382,any,,,1
382,birth,5,,
382,death,5,,
383,birth,4,,
383,death,2,,
384,birth,3,,
384,death,2,,
386,birth,6,,
386,death,5,,
388,birth,1,,
388,death,1,,
390,birth,2,,1
390,death,2,,
391,birth,4,,
391,death,4,,
392,birth,8,,
392,death,8,,
394,birth,2,1,
394,death,2,,
395,birth,4,,
395,death,4,,
397,birth,1,4,
397,death,,4,
399,birth,10,,
399,death,10,,
400,any,,2,2
400,birth,27,5,
400,death,11,,
400,marriage,4,,
401,birth,2,,6
401,death,2,,6
402,birth,9,,
402,death,6,,
403,birth,,4,
403,death,,4,
404,birth,4,2,
404,death,3,2,
405,birth,13,,
405,death,11,,
406,any,,13,
406,birth,13,10,
406,death,10,,
407,any,,,3
407,birth,9,,11
407,death,8,,11
408,birth,11,,2
408,death,11,,2
409,birth,6,,
409,death,6,,
410,any,,1,
410,birth,8,,
410,death,4,,
411,birth,11,,
411,death,8,,
412,birth,9,,2
412,death,9,,2
413,birth,3,,2
413,death,2,,2
414,birth,6,,
414,death,6,,
415,any,,1,
415,birth,4,,
415,death,4,,
416,birth,3,,
416,death,2,,
417,birth,4,1,
417,death,2,,
418,birth,6,,
419,birth,9,,
419,death,6,,
420,birth,23,,
420,death,26,,
421,birth,2,,1
421,death,2,,
422,birth,6,,
422,death,4,,
423,birth,3,2,
423,death,2,2,
424,birth,2,,
424,death,3,,
425,birth,6,,
425,death,6,,
426,birth,12,,
426,death,10,,
427,birth,1,,3
427,death,,,2
428,birth,2,,
429,birth,4,,
429,death,4,,
430,birth,16,,
430,death,12,,
431,birth,4,2,
431,death,4,2,
433,birth,4,,
433,death,2,,
433,marriage,,2,
434,birth,8,,
434,death,8,,
435,birth,2,,2
435,death,2,,2
437,birth,6,1,
437,death,6,,
437,marriage,,,4
438,birth,4,,
438,death,2,,
439,birth,4,,
439,death,4,,
440,birth,2,,
440,death,2,,
441,death,1,,
442,birth,4,,
442,death,4,,
443,birth,4,,
443,death,4,,
445,any,,1,
445,birth,4,,
445,death,4,,
448,birth,,5,
448,death,,4,
450,any,,1,
450,birth,12,1,
450,death,10,,
451,birth,2,2,
451,death,,2,
452,birth,3,,6
452,death,,,6
453,birth,21,,
453,death,27,,
454,birth,5,,2
454,death,4,,2
455,birth,10,,2
455,death,11,,2
456,birth,8,2,
456,death,8,2,
457,birth,6,,
457,death,4,,
458,birth,6,,
458,death,4,,
458,marriage,,1,
459,birth,,,2
459,death,,,2
460,any,,1,1
460,birth,11,,2
460,death,5,,2
460,marriage,,1,
461,birth,1,,
462,birth,2,,
462,death,2,,
462,marriage,,,1
463,birth,5,,
463,death,4,,
464,birth,10,,
464,death,10,,
464,marriage,,,1
465,birth,10,,
465,death,8,,
466,any,,1,
466,birth,7,,
466,death,4,,
467,any,,1,
467,birth,2,,2
467,death,2,,2
468,birth,2,,
468,death,2,,
469,birth,2,1,
469,death,2,,
470,birth,8,,1
470,death,9,,
471,any,,1,
471,birth,1,,
472,any,,1,
472,birth,3,,
473,birth,3,,
474,marriage,,1,
475,any,,1,2
475,birth,7,,
475,death,6,,
477,birth,4,,
477,death,2,,
478,birth,3,1,
478,death,2,,
478,marriage,,,1
480,any,,1,4
480,birth,14,,
480,death,13,,
480,residence,,,4
481,birth,6,,
481,death,4,,
482,birth,4,,
482,death,4,,
483,birth,5,,
483,death,4,,
485,birth,2,,
485,death,2,,
486,birth,2,,
486,death,2,,
487,birth,1,,
489,birth,6,,
489,death,4,,
490,birth,7,,
490,death,2,,
492,birth,5,,
492,death,4,,
493,birth,4,,
493,death,4,,
494,birth,2,,
494,death,2,,
495,birth,3,,
496,birth,2,,
496,death,2,,
497,birth,,1,
498,birth,,4,
498,death,,4,
499,birth,1,1,
500,any,,79,7
500,birth,66,9,3
500,death,38,,
501,birth,6,,
501,death,2,,
502,any,,2,
502,birth,10,2,6
502,death,9,,6
502,marriage,,,1
503,any,,1,
503,birth,7,,
503,death,6,,
504,birth,6,,
504,death,2,,
505,birth,3,2,
505,death,2,2,
506,birth,12,,
506,death,10,,
507,birth,4,,
507,death,2,,
508,birth,14,,
508,death,8,,
509,any,,2,
509,birth,14,,2
509,death,10,,2
510,any,,1,
510,birth,11,2,1
510,death,8,,
511,any,,1,
511,birth,16,,
511,death,14,,
512,any,,1,
512,birth,17,,
512,death,16,,
513,birth,6,,
513,death,4,,
514,birth,13,,
514,death,12,,
515,any,,22,
515,birth,10,,1
515,death,6,,
515,marriage,,22,
516,birth,6,,
516,death,6,,
517,birth,11,9,1
517,death,4,9,
517,marriage,,9,
518,birth,4,,
518,death,2,,
518,marriage,,,1
519,birth,20,,
519,death,14,,
520,any,,3,3
520,birth,10,,
520,death,8,,
521,birth,12,,9
521,death,9,,9
521,marriage,,,9
522,birth,7,1,
522,death,2,,
522,marriage,,1,
523,birth,15,1,
523,death,11,,
524,birth,1,,
525,birth,7,,
525,death,2,,
526,birth,4,,
526,death,4,,
526,marriage,,,1
527,birth,6,,4
527,death,5,,3
527,marriage,,,3
528,birth,1,,
529,birth,5,,2
529,death,,,2
530,any,,3,
530,birth,9,1,
530,death,9,,
531,any,,1,1
531,birth,3,,
531,death,2,,
532,birth,14,,
532,death,14,,
533,any,,2,
533,birth,6,,
533,death,6,,
534,birth,8,,
534,death,8,,
535,birth,8,,
535,death,6,,
536,birth,2,,2
536,death,3,,2
537,birth,4,,
537,death,4,,
538,death,2,,
539,birth,2,,
539,death,2,,
540,birth,5,,
540,death,4,,
542,birth,6,,
542,death,6,,
544,any,,1,
544,birth,2,,
544,death,2,,
545,birth,9,,
545,death,4,,
546,birth,2,,
546,death,2,,
547,birth,9,,
547,death,8,,
548,birth,4,3,
548,death,2,3,
548,marriage,,3,
549,birth,2,4,
549,death,2,4,
550,any,,3,
550,birth,13,,
550,death,8,,
551,birth,2,,
551,death,2,,
552,birth,2,,3
552,death,2,,3
552,marriage,,,3
553,birth,,,4
553,death,,,4
